CustomerID,Recency,Frequency,Monetary,Tenure,R,F,M,T,RFM_Segment,RFM_Score,RFM_Level,Cluster
12455.0,73,90,2466.86,297,2,3,4,3,2343,12,Champions,Cluster 2
12456.0,44,129,3153.89,255,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12457.0,58,68,1917.78,239,2,3,4,2,2342,11,Loyal,Cluster 0
12458.0,71,38,947.4,285,2,2,3,3,2233,10,Loyal,Cluster 1
12461.0,94,35,826.88,155,2,2,3,2,2232,9,Potential,Cluster 0
12462.0,2,72,1124.01,303,4,3,3,3,4333,13,Champions,Cluster 2
12463.0,46,88,1303.63,242,3,3,3,2,3332,11,Loyal,Cluster 0
12464.0,10,29,1212.05,309,4,2,3,3,4233,12,Champions,Cluster 0
12465.0,8,51,733.89,169,4,3,3,2,4332,12,Champions,Cluster 0
12468.0,143,40,724.0400000000001,316,2,2,3,3,2233,10,Loyal,Cluster 1
12471.0,2,531,18740.92,373,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12472.0,31,391,6229.48,373,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12473.0,29,179,2848.23,192,3,4,4,2,3442,13,Champions,Cluster 0
12474.0,17,457,7116.47,369,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12475.0,54,36,723.38,54,2,2,3,1,2231,8,Potential,Cluster 3
12476.0,1,264,6546.58,361,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12477.0,23,308,13117.01,312,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12478.0,4,36,680.99,4,4,2,3,1,4231,10,Loyal,Cluster 0
12479.0,4,35,477.3,11,4,2,2,1,4221,9,Potential,Cluster 3
12480.0,28,154,3281.63,336,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12481.0,23,218,5590.86,366,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12483.0,17,81,2327.13,339,4,3,4,4,4344,15,Can't Loose Them,Cluster 2
12484.0,33,350,4495.27,336,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12488.0,10,55,1298.66,76,4,3,3,1,4331,11,Loyal,Cluster 0
12489.0,336,15,334.93,336,1,1,2,4,1124,8,Potential,Cluster 1
12490.0,5,245,5417.93,330,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12491.0,39,26,460.40000000000003,39,3,2,2,1,3221,8,Potential,Cluster 3
12492.0,63,20,263.21000000000004,105,2,2,1,1,2211,6,Promising,Cluster 3
12493.0,166,23,416.79,197,1,2,2,2,1222,7,Promising,Cluster 1
12494.0,10,84,1139.3500000000001,366,4,3,3,4,4334,14,Can't Loose Them,Cluster 2
12497.0,82,14,1043.1,82,2,1,3,1,2131,7,Promising,Cluster 3
12498.0,21,23,403.70000000000005,58,3,2,2,1,3221,8,Potential,Cluster 3
12500.0,23,65,4206.27,334,3,3,4,4,3344,14,Can't Loose Them,Cluster 2
12501.0,315,160,2089.68,337,1,4,4,4,1444,13,Champions,Cluster 2
12502.0,96,147,3723.87,310,2,4,4,3,2443,13,Champions,Cluster 2
12503.0,338,1,-1126.0,338,1,1,1,4,1114,7,Promising,Cluster 1
12504.0,18,15,114.0,30,3,1,1,1,3111,6,Promising,Cluster 3
12505.0,301,1,-4.5,301,1,1,1,3,1113,6,Promising,Cluster 1
12506.0,233,23,73.5,233,1,2,1,2,1212,6,Promising,Cluster 1
12507.0,134,23,1258.06,299,2,2,3,3,2233,10,Loyal,Cluster 1
12508.0,26,69,398.27,29,3,3,2,1,3321,9,Potential,Cluster 0
12509.0,284,7,176.5,284,1,1,1,3,1113,6,Promising,Cluster 1
12510.0,143,33,982.5699999999999,325,2,2,3,3,2233,10,Loyal,Cluster 1
12512.0,66,34,138.03,66,2,2,1,1,2211,6,Promising,Cluster 3
12513.0,85,36,586.79,113,2,2,2,1,2221,7,Promising,Cluster 3
12514.0,267,51,1017.68,267,1,3,3,3,1333,10,Loyal,Cluster 1
12515.0,353,16,383.7,353,1,1,2,4,1124,8,Potential,Cluster 1
12516.0,78,26,1312.06,181,2,2,3,2,2232,9,Potential,Cluster 0
12517.0,28,286,2464.89,190,3,4,4,2,3442,13,Champions,Cluster 0
12518.0,1,124,2056.89,110,4,4,4,1,4441,13,Champions,Cluster 0
12519.0,64,18,340.84,64,2,2,2,1,2221,7,Promising,Cluster 3
12520.0,79,155,2582.51,274,2,4,4,3,2443,13,Champions,Cluster 2
12521.0,143,38,599.68,143,2,2,2,2,2222,8,Potential,Cluster 3
12522.0,39,12,192.72,51,3,1,1,1,3111,6,Promising,Cluster 3
12523.0,2,110,1745.57,332,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12524.0,9,144,4485.72,334,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12526.0,1,71,1316.66,94,4,3,3,1,4331,11,Loyal,Cluster 0
12527.0,82,18,348.71000000000004,326,2,2,2,3,2223,9,Potential,Cluster 1
12528.0,9,95,1922.28,313,4,3,4,3,4343,14,Can't Loose Them,Cluster 2
12530.0,60,68,1623.63,337,2,3,4,4,2344,13,Champions,Cluster 2
12531.0,15,17,125.22,15,4,1,1,1,4111,7,Promising,Cluster 3
12532.0,30,16,349.83000000000004,30,3,1,2,1,3121,7,Promising,Cluster 3
12534.0,131,63,1089.18,131,2,3,3,2,2332,10,Loyal,Cluster 0
12535.0,92,34,716.35,187,2,2,3,2,2232,9,Potential,Cluster 0
12536.0,8,273,4106.82,59,4,4,4,1,4441,13,Champions,Cluster 0
12538.0,29,21,363.95,29,3,2,2,1,3221,8,Potential,Cluster 3
12539.0,22,274,3852.5,334,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12540.0,20,481,13309.039999999999,362,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12541.0,30,52,981.18,281,3,3,3,3,3333,12,Champions,Cluster 2
12544.0,30,20,355.7,36,3,2,2,1,3221,8,Potential,Cluster 3
12545.0,75,50,1000.39,260,2,3,3,3,2333,11,Loyal,Cluster 2
12546.0,47,70,1141.5,78,3,3,3,1,3331,10,Loyal,Cluster 0
12547.0,198,8,207.79999999999998,281,1,1,1,3,1113,6,Promising,Cluster 1
12548.0,166,5,95.19999999999999,166,1,1,1,2,1112,5,Needs Attention,Cluster 1
12550.0,79,57,964.83,79,2,3,3,1,2331,9,Potential,Cluster 0
12551.0,358,10,168.0,358,1,1,1,4,1114,7,Promising,Cluster 1
12552.0,39,20,437.82,40,3,2,2,1,3221,8,Potential,Cluster 3
12553.0,8,196,3652.25,330,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12556.0,50,121,603.71,151,3,4,2,2,3422,11,Loyal,Cluster 0
12557.0,16,33,11990.960000000001,372,4,2,4,4,4244,14,Can't Loose Them,Cluster 2
12558.0,2,22,1.0658141036401503e-14,8,4,2,1,1,4211,8,Potential,Cluster 3
12559.0,311,22,536.21,320,1,2,2,3,1223,8,Potential,Cluster 1
12560.0,5,111,2101.39,143,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12561.0,303,16,238.85,303,1,1,1,3,1113,6,Promising,Cluster 1
12562.0,8,168,3781.7400000000002,199,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12564.0,261,21,456.9,261,1,2,2,3,1223,8,Potential,Cluster 1
12565.0,282,10,131.17,289,1,1,1,3,1113,6,Promising,Cluster 1
12566.0,73,20,346.7,86,2,2,2,1,2221,7,Promising,Cluster 3
12567.0,23,463,9114.94,370,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12569.0,2,191,4064.9900000000002,252,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12571.0,40,34,519.61,122,3,2,2,2,3222,9,Potential,Cluster 3
12572.0,9,62,1004.72,52,4,3,3,1,4331,11,Loyal,Cluster 0
12573.0,227,28,160.54000000000002,227,1,2,1,2,1212,6,Promising,Cluster 1
12574.0,316,11,218.45,316,1,1,1,3,1113,6,Promising,Cluster 1
12576.0,36,89,1306.98,305,3,3,3,3,3333,12,Champions,Cluster 2
12577.0,35,148,595.4,359,3,4,2,4,3424,13,Champions,Cluster 2
12578.0,21,120,2753.36,339,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12579.0,73,31,410.72,78,2,2,2,1,2221,7,Promising,Cluster 3
12580.0,247,24,415.7,247,1,2,2,2,1222,7,Promising,Cluster 1
12581.0,40,15,197.71,40,3,1,1,1,3111,6,Promising,Cluster 3
12582.0,239,22,511.36,289,1,2,2,3,1223,8,Potential,Cluster 1
12583.0,3,251,7187.34,374,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12584.0,4,126,1893.95,280,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12585.0,234,97,1982.81,351,1,3,4,4,1344,12,Champions,Cluster 2
12586.0,17,12,179.94000000000003,369,4,1,1,4,4114,10,Loyal,Cluster 3
12587.0,8,4,144.0,8,4,1,1,1,4111,7,Promising,Cluster 3
12588.0,39,10,214.89999999999998,39,3,1,1,1,3111,6,Promising,Cluster 3
12589.0,29,35,646.68,145,3,2,2,2,3222,9,Potential,Cluster 3
12590.0,190,70,9861.38,211,1,3,4,2,1342,10,Loyal,Cluster 0
12591.0,317,26,452.84999999999997,317,1,2,2,3,1223,8,Potential,Cluster 1
12592.0,92,18,437.6,213,2,2,2,2,2222,8,Potential,Cluster 3
12593.0,109,21,418.09999999999997,219,2,2,2,2,2222,8,Potential,Cluster 3
12594.0,38,119,3320.2200000000003,323,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12596.0,51,27,618.27,242,2,2,2,2,2222,8,Potential,Cluster 3
12597.0,19,214,3683.13,268,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12598.0,10,133,3002.68,285,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12599.0,29,62,1032.58,304,3,3,3,3,3333,12,Champions,Cluster 2
12600.0,29,65,2581.04,371,3,3,4,4,3344,14,Can't Loose Them,Cluster 2
12601.0,190,29,569.5600000000001,333,1,2,2,4,1224,9,Potential,Cluster 1
12602.0,59,12,153.12,59,2,1,1,1,2111,5,Needs Attention,Cluster 3
12603.0,22,3,739.1999999999999,22,3,1,3,1,3131,8,Potential,Cluster 3
12604.0,79,16,254.18,262,2,1,1,3,2113,7,Promising,Cluster 1
12605.0,365,3,-7.5,365,1,1,1,4,1114,7,Promising,Cluster 1
12607.0,58,202,3.552713678800501e-15,60,2,4,1,1,2411,8,Potential,Cluster 3
12609.0,78,60,1126.85,318,2,3,3,3,2333,11,Loyal,Cluster 2
12610.0,23,111,2057.99,126,3,4,4,2,3442,13,Champions,Cluster 0
12611.0,52,65,1193.32,52,2,3,3,1,2331,9,Potential,Cluster 0
12612.0,58,21,643.59,74,2,2,2,1,2221,7,Promising,Cluster 3
12613.0,31,163,3218.98,262,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12614.0,278,20,315.6,278,1,2,2,3,1223,8,Potential,Cluster 1
12615.0,2,105,2291.19,168,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12616.0,85,36,657.25,297,2,2,3,3,2233,10,Loyal,Cluster 1
12617.0,29,42,355.53,29,3,2,2,1,3221,8,Potential,Cluster 3
12618.0,22,11,177.31,22,3,1,1,1,3111,6,Promising,Cluster 3
12619.0,16,95,3214.81,253,4,3,4,2,4342,13,Champions,Cluster 0
12620.0,15,92,1339.41,205,4,3,3,2,4332,12,Champions,Cluster 0
12621.0,2,474,13612.07,366,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12622.0,232,11,180.1,232,1,1,1,2,1112,5,Needs Attention,Cluster 1
12623.0,276,18,305.1,276,1,2,2,3,1223,8,Potential,Cluster 1
12624.0,106,38,641.13,178,2,2,2,2,2222,8,Potential,Cluster 3
12625.0,212,91,2614.32,319,1,3,4,3,1343,11,Loyal,Cluster 2
12626.0,23,307,6388.35,327,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12627.0,11,230,4478.53,140,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12628.0,4,43,769.61,65,4,3,3,1,4331,11,Loyal,Cluster 0
12630.0,10,64,1270.88,44,4,3,3,1,4331,11,Loyal,Cluster 0
12631.0,57,31,640.5,57,2,2,2,1,2221,7,Promising,Cluster 3
12633.0,59,103,2140.63,288,2,4,4,3,2443,13,Champions,Cluster 2
12635.0,90,101,1689.18,155,2,3,4,2,2342,11,Loyal,Cluster 0
12637.0,67,394,5953.25,324,2,4,4,3,2443,13,Champions,Cluster 2
12638.0,33,39,671.69,33,3,2,3,1,3231,9,Potential,Cluster 0
12639.0,239,22,486.1,239,1,2,2,2,1222,7,Promising,Cluster 1
12640.0,24,53,1174.58,82,3,3,3,1,3331,10,Loyal,Cluster 0
12641.0,115,10,185.9,115,2,1,1,1,2111,5,Needs Attention,Cluster 3
12642.0,25,47,1013.26,108,3,3,3,1,3331,10,Loyal,Cluster 0
12643.0,128,24,3344.64,333,2,2,4,4,2244,12,Champions,Cluster 2
12644.0,130,31,477.91,130,2,2,2,2,2222,8,Potential,Cluster 3
12645.0,34,74,1755.38,316,3,3,4,3,3343,13,Champions,Cluster 2
12646.0,5,45,1346.97,49,4,3,3,1,4331,11,Loyal,Cluster 0
12647.0,22,128,3669.92,369,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12648.0,155,21,318.05,155,1,2,2,2,1222,7,Promising,Cluster 1
12649.0,107,33,603.71,365,2,2,2,4,2224,10,Loyal,Cluster 1
12650.0,3,20,314.44,3,4,2,2,1,4221,9,Potential,Cluster 3
12651.0,335,9,114.0,335,1,1,1,4,1114,7,Promising,Cluster 1
12652.0,322,51,914.53,331,1,3,3,3,1333,10,Loyal,Cluster 1
12653.0,149,43,2209.85,297,1,3,4,3,1343,11,Loyal,Cluster 2
12654.0,11,38,601.98,295,4,2,2,3,4223,11,Loyal,Cluster 3
12656.0,17,130,3982.72,243,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12657.0,11,56,1152.06,79,4,3,3,1,4331,11,Loyal,Cluster 0
12658.0,19,36,686.05,19,3,2,3,1,3231,9,Potential,Cluster 0
12659.0,30,5,91.68,30,3,1,1,1,3111,6,Promising,Cluster 3
12660.0,11,13,245.1,11,4,1,1,1,4111,7,Promising,Cluster 3
12662.0,1,232,3817.08,373,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12664.0,8,38,4863.88,323,4,2,4,3,4243,13,Champions,Cluster 2
12665.0,325,4,61.75,332,1,1,1,3,1113,6,Promising,Cluster 1
12666.0,359,2,-227.44,359,1,1,1,4,1114,7,Promising,Cluster 1
12667.0,58,33,620.13,58,2,2,2,1,2221,7,Promising,Cluster 3
12668.0,7,168,3743.18,356,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12669.0,151,102,1607.73,257,1,3,3,3,1333,10,Loyal,Cluster 1
12670.0,10,94,2986.15,233,4,3,4,2,4342,13,Champions,Cluster 0
12672.0,330,10,225.89999999999998,330,1,1,1,3,1113,6,Promising,Cluster 1
12673.0,5,42,610.52,327,4,2,2,3,4223,11,Loyal,Cluster 3
12674.0,12,91,1919.31,208,4,3,4,2,4342,13,Champions,Cluster 0
12676.0,25,45,1331.39,311,3,3,3,3,3333,12,Champions,Cluster 2
12678.0,42,167,17588.26,354,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12679.0,52,56,1058.67,284,2,3,3,3,2333,11,Loyal,Cluster 2
12680.0,1,52,862.81,113,4,3,3,1,4331,11,Loyal,Cluster 0
12681.0,15,646,13677.59,368,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12682.0,4,525,12288.22,371,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12683.0,4,362,8221.09,366,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12684.0,8,105,2283.63,213,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12685.0,28,157,2863.08,94,3,4,4,1,3441,12,Champions,Cluster 0
12686.0,372,7,89.14,372,1,1,1,4,1114,7,Promising,Cluster 1
12688.0,114,171,4873.8099999999995,114,2,4,4,1,2441,11,Loyal,Cluster 0
12689.0,26,72,1247.61,128,3,3,3,2,3332,11,Loyal,Cluster 0
12690.0,206,16,389.01,206,1,1,2,2,1122,6,Promising,Cluster 1
12691.0,28,32,1035.8,357,3,2,3,4,3234,12,Champions,Cluster 2
12693.0,121,41,830.96,319,2,2,3,3,2233,10,Loyal,Cluster 1
12694.0,70,37,869.67,183,2,2,3,2,2232,9,Potential,Cluster 0
12695.0,7,27,582.1,210,4,2,2,2,4222,10,Loyal,Cluster 3
12697.0,21,43,939.02,169,3,3,3,2,3332,11,Loyal,Cluster 0
12700.0,8,270,4867.99,215,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12701.0,80,53,797.71,242,2,3,3,2,2332,10,Loyal,Cluster 0
12702.0,20,12,219.0,20,3,1,1,1,3111,6,Promising,Cluster 3
12703.0,64,22,274.7,71,2,2,1,1,2211,6,Promising,Cluster 3
12704.0,7,90,2220.84,170,4,3,4,2,4342,13,Champions,Cluster 0
12705.0,15,348,6814.24,357,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12707.0,292,33,603.42,292,1,2,2,3,1223,8,Potential,Cluster 1
12708.0,30,174,2616.32,369,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12709.0,3,257,9294.1,367,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12710.0,97,79,1130.57,201,2,3,3,2,2332,10,Loyal,Cluster 0
12712.0,23,142,4241.63,371,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12713.0,1,38,848.55,1,4,2,3,1,4231,10,Loyal,Cluster 0
12714.0,9,259,4708.86,295,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12715.0,106,21,353.86,106,2,2,2,1,2221,7,Promising,Cluster 3
12716.0,4,69,1053.49,133,4,3,3,2,4332,12,Champions,Cluster 0
12717.0,151,56,980.98,246,1,3,3,2,1332,9,Potential,Cluster 1
12718.0,71,19,238.25,71,2,2,1,1,2211,6,Promising,Cluster 3
12719.0,5,42,608.1,65,4,2,2,1,4221,9,Potential,Cluster 3
12720.0,3,359,5713.28,369,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12721.0,32,164,2628.98,366,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12722.0,85,57,904.33,151,2,3,3,2,2332,10,Loyal,Cluster 0
12723.0,4,69,725.07,65,4,3,3,1,4331,11,Loyal,Cluster 0
12724.0,5,53,1031.41,332,4,3,3,3,4333,13,Champions,Cluster 2
12725.0,371,24,427.8,371,1,2,2,4,1224,9,Potential,Cluster 1
12726.0,28,124,2609.1,357,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12727.0,11,141,3947.7,320,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12728.0,71,46,836.33,332,2,3,3,3,2333,11,Loyal,Cluster 2
12729.0,114,26,453.01,114,2,2,2,1,2221,7,Promising,Cluster 3
12731.0,24,277,18793.41,365,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12732.0,180,12,236.26000000000002,180,1,1,1,2,1112,5,Needs Attention,Cluster 1
12733.0,234,22,383.95,234,1,2,2,2,1222,7,Promising,Cluster 1
12734.0,353,4,110.39999999999999,353,1,1,1,4,1114,7,Promising,Cluster 1
12735.0,315,43,779.5699999999999,337,1,3,3,4,1334,11,Loyal,Cluster 1
12736.0,333,4,234.0,333,1,1,1,4,1114,7,Promising,Cluster 1
12738.0,372,11,155.35,372,1,1,1,4,1114,7,Promising,Cluster 1
12739.0,78,38,1013.04,99,2,2,3,1,2231,8,Potential,Cluster 3
12740.0,64,27,427.6,64,2,2,2,1,2221,7,Promising,Cluster 3
12743.0,134,134,546.43,134,2,4,2,2,2422,10,Loyal,Cluster 0
12744.0,52,229,9120.39,318,2,4,4,3,2443,13,Champions,Cluster 2
12747.0,2,103,4196.01,369,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12748.0,1,4642,29072.1,374,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12749.0,4,231,3868.2,213,4,4,4,2,4442,14,Can't Loose Them,Cluster 0
12750.0,129,15,275.88,129,2,1,1,2,2112,6,Promising,Cluster 3
12752.0,81,53,4366.78,81,2,3,4,1,2341,10,Loyal,Cluster 0
12753.0,4,230,21024.01,363,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
